,file_id,file_name,event
0,1,3dmax-vs-big-m1-ancient.dem,
1,2,3dmax-vs-big-m2-inferno.dem,
2,3,eternal-fire-vs-3dmax-m1-inferno.dem,
3,4,eternal-fire-vs-3dmax-m2-anubis.dem,
4,5,eternal-fire-vs-3dmax-m3-dust2.dem,
5,6,eternal-fire-vs-faze-m1-anubis.dem,
6,7,eternal-fire-vs-faze-m2-nuke.dem,
7,8,eternal-fire-vs-virtus-pro-m1-anubis.dem,
8,9,eternal-fire-vs-virtus-pro-m2-dust2-p1.dem,
9,10,eternal-fire-vs-virtus-pro-m2-dust2-p2.dem,
10,11,eternal-fire-vs-virtus-pro-m3-train-p3.dem,
11,12,falcons-vs-eternal-fire-m1-inferno.dem,
12,13,falcons-vs-eternal-fire-m2-train.dem,
13,14,falcons-vs-g2-m1-ancient.dem,
14,15,falcons-vs-g2-m2-dust2.dem,
15,16,falcons-vs-g2-m3-mirage.dem,
16,17,faze-vs-big-m1-ancient-p1.dem,
17,18,faze-vs-big-m1-ancient-p2.dem,
18,19,faze-vs-big-m2-mirage.dem,
19,20,faze-vs-big-m3-nuke.dem,
20,21,furia-vs-astralis-m1-inferno-p1.dem,
21,22,furia-vs-astralis-m1-inferno-p2.dem,
22,23,furia-vs-astralis-m2-dust2.dem,
23,24,furia-vs-astralis-m3-nuke-p1.dem,
24,25,furia-vs-astralis-m3-nuke-p2.dem,
25,26,g2-vs-faze-m1-ancient-p1.dem,
26,27,g2-vs-faze-m1-ancient-p2.dem,
27,28,g2-vs-faze-m2-inferno-p1.dem,
28,29,g2-vs-faze-m2-inferno-p2.dem,
29,30,g2-vs-faze-m3-nuke.dem,
30,31,g2-vs-virtus-pro-m1-inferno.dem,
31,32,g2-vs-virtus-pro-m2-mirage.dem,
32,33,gamerlegion-vs-astralis-m1-nuke-p1.dem,
33,34,gamerlegion-vs-astralis-m1-nuke-p2.dem,
34,35,gamerlegion-vs-astralis-m2-mirage.dem,
35,36,gamerlegion-vs-spirit-m1-anubis-p1.dem,
36,37,gamerlegion-vs-spirit-m1-anubis-p2.dem,
37,38,gamerlegion-vs-spirit-m2-ancient-p1.dem,
38,39,gamerlegion-vs-spirit-m2-ancient-p2.dem,
39,40,gamerlegion-vs-spirit-m3-nuke-p3.dem,
40,41,gamerlegion-vs-the-mongolz-m1-nuke.dem,
41,42,gamerlegion-vs-the-mongolz-m2-mirage.dem,
42,43,liquid-vs-spirit-m1-nuke-p1.dem,
43,44,liquid-vs-spirit-m1-nuke-p2.dem,
44,45,liquid-vs-spirit-m2-dust2.dem,
45,46,mouz-vs-gamerlegion-m1-inferno.dem,
46,47,mouz-vs-gamerlegion-m2-mirage.dem,
47,48,mouz-vs-liquid-m1-nuke.dem,
48,49,mouz-vs-liquid-m2-ancient.dem,
49,50,natus-vincere-vs-furia-m1-dust2.dem,
50,51,natus-vincere-vs-furia-m2-mirage.dem,
51,52,natus-vincere-vs-spirit-m1-mirage(1).dem,
52,53,natus-vincere-vs-spirit-m1-mirage.dem,
53,54,natus-vincere-vs-spirit-m2-dust2-p1.dem,
54,55,natus-vincere-vs-spirit-m2-dust2-p2.dem,
55,56,natus-vincere-vs-spirit-m2-dust2-p3.dem,
56,57,natus-vincere-vs-spirit-m2-dust2.dem,
57,58,natus-vincere-vs-spirit-m3-nuke.dem,
58,59,spirit-vs-astralis-m1-nuke.dem,
59,60,spirit-vs-astralis-m2-dust2-p1.dem,
60,61,spirit-vs-astralis-m2-dust2-p2.dem,
61,62,the-mongolz-vs-eternal-fire-m1-anubis.dem,
62,63,the-mongolz-vs-eternal-fire-m2-mirage-p1.dem,
63,64,the-mongolz-vs-eternal-fire-m2-mirage-p2.dem,
64,65,the-mongolz-vs-eternal-fire-m2-mirage-p3.dem,
65,66,the-mongolz-vs-liquid-m1-nuke-p1.dem,
66,67,the-mongolz-vs-liquid-m1-nuke-p2.dem,
67,68,the-mongolz-vs-liquid-m1-nuke-p3.dem,
68,69,the-mongolz-vs-liquid-m2-mirage.dem,
69,70,the-mongolz-vs-liquid-m3-ancient.dem,
70,71,the-mongolz-vs-natus-vincere-m1-mirage.dem,
71,72,the-mongolz-vs-natus-vincere-m2-ancient.dem,
72,73,virtus-pro-vs-spirit-m1-train.dem,
73,74,virtus-pro-vs-spirit-m2-ancient.dem,
74,75,virtus-pro-vs-vitality-m1-anubis.dem,
75,76,virtus-pro-vs-vitality-m2-inferno.dem,
76,77,vitality-vs-3dmax-m1-inferno.dem,
77,78,vitality-vs-3dmax-m2-nuke-p1.dem,
78,79,vitality-vs-3dmax-m2-nuke-p2.dem,
79,80,vitality-vs-3dmax-m2-nuke-p3.dem,
80,81,vitality-vs-faze-m1-nuke.dem,
81,82,vitality-vs-faze-m2-anubis.dem,
82,83,vitality-vs-faze-m3-dust2.dem,
83,84,vitality-vs-spirit-m1-dust2.dem,
84,85,vitality-vs-spirit-m2-nuke.dem,
85,86,vitality-vs-spirit-m3-mirage.dem,
86,87,vitality-vs-the-mongolz-m1-mirage.dem,
87,88,vitality-vs-the-mongolz-m2-nuke.dem,
