raw_name,canonical_name,normalization_type,timestamp
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-01-28T23:02:51.926736
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-01-28T23:02:51.926736
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-01-28T23:02:51.927736
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-01-28T23:02:51.928736
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-01-28T23:02:51.929736
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-01-28T23:02:51.929736
Natus Vincere,Natus Vincere,STATIC_CANONICAL,2026-01-28T23:02:54.678821
Team Spirit,Team Spirit,STATIC_CANONICAL,2026-01-28T23:02:54.678821
Eternal Fire,Eternal Fire,NEW_TEAM,2026-01-28T23:02:55.784265
The MongolZ,The MongolZ,STATIC_CANONICAL,2026-01-28T23:02:55.784265
