file_id,steam_id,team_id
1,76561198013243326,1
1,76561198050250233,1
1,76561198176878303,1
1,76561198246607476,1
1,76561199063068840,1
1,76561197989430253,2
1,76561197991272318,2
1,76561197997351207,2
1,76561198068422762,2
1,76561198201620490,2
2,76561197989430253,2
2,76561197991272318,2
2,76561197997351207,2
2,76561198068422762,2
2,76561198201620490,2
2,76561198013243326,1
2,76561198050250233,1
2,76561198176878303,1
2,76561198246607476,1
2,76561199063068840,1
3,76561197989430253,2
3,76561197991272318,2
3,76561197997351207,2
3,76561198068422762,2
3,76561198201620490,2
3,76561198013243326,1
3,76561198050250233,1
3,76561198176878303,1
3,76561198246607476,1
3,76561199063068840,1
